Stock Name,timestamp,Actual Close,Predicted Close
Amgen Inc,7/18/2019,179.54,178.3201752
Amgen Inc,7/19/2019,178.39,176.2427826
Amgen Inc,7/22/2019,175.89,175.8446655
Amgen Inc,7/23/2019,176.01,176.6604614
Amgen Inc,7/24/2019,175.77,176.8066559
Amgen Inc,7/25/2019,174.11,176.0018311
Amgen Inc,7/26/2019,175.34,176.6532288
Amgen Inc,7/29/2019,176.08,177.6669312
Amgen Inc,7/30/2019,176.45,177.2632599
Amgen Inc,7/31/2019,186.58,179.0913849
Amgen Inc,8/1/2019,186,182.065506
Amgen Inc,8/2/2019,187.22,183.3899994
Amgen Inc,8/5/2019,181.5,184.6909637
Amgen Inc,8/6/2019,184.46,187.4925842
Amgen Inc,8/7/2019,183.54,185.740799
Amgen Inc,8/8/2019,185.23,185.3562012
Amgen Inc,8/9/2019,196.25,184.2437134
Amgen Inc,8/12/2019,205.78,184.8348083
Amgen Inc,8/13/2019,206.12,185.074234
Amgen Inc,8/14/2019,198.87,186.8957062
Amgen Inc,8/15/2019,199.31,187.3069763
Amgen Inc,8/16/2019,204.02,189.1213074
Amgen Inc,8/19/2019,206,186.9786224
Amgen Inc,8/20/2019,203.17,183.760788
Amgen Inc,8/21/2019,203.94,182.9760132
Amgen Inc,8/22/2019,203.42,183.3929749
Amgen Inc,8/23/2019,199.08,179.7617035
Amgen Inc,8/26/2019,205.41,176.780304
Amgen Inc,8/27/2019,206.49,177.3689423
Amgen Inc,8/28/2019,207.52,178.5499573
Amgen Inc,8/29/2019,206.98,205.8657379
Amgen Inc,8/30/2019,208.62,184.4679871
Amgen Inc,9/3/2019,205.52,180.9183655
Amgen Inc,9/4/2019,206.32,179.2562256
Amgen Inc,9/5/2019,207.65,178.7937164
Amgen Inc,9/6/2019,207.73,178.0511475
Amgen Inc,9/9/2019,202.34,176.1200714
Amgen Inc,9/10/2019,196.87,176.2715912
Amgen Inc,9/11/2019,195.84,176.7744293
Amgen Inc,9/12/2019,194,177.0735016
Amgen Inc,9/13/2019,195.47,185.119751
Amgen Inc,9/16/2019,194.08,185.8434143
Amgen Inc,9/17/2019,196.72,187.0200348
Amgen Inc,9/18/2019,195.04,182.769043
Amgen Inc,9/19/2019,195.65,184.8355713
Amgen Inc,9/20/2019,196.94,184.6695709
Amgen Inc,9/23/2019,197.76,186.0766602
Amgen Inc,9/24/2019,196.55,195.2335052
Amgen Inc,9/25/2019,196.06,203.0826569
Amgen Inc,9/26/2019,195.38,203.1515198
Amgen Inc,9/27/2019,194.94,198.1776123
Amgen Inc,9/30/2019,193.51,199.8346252
Amgen Inc,10/1/2019,193.19,203.9021912
Amgen Inc,10/2/2019,189.21,205.03862
Amgen Inc,10/3/2019,192.62,202.6419373
Amgen Inc,10/4/2019,195.59,203.8324585
Amgen Inc,10/7/2019,197.17,203.1333771
Amgen Inc,10/8/2019,196.08,199.5182343
Amgen Inc,10/9/2019,196.69,205.2212524
Amgen Inc,10/10/2019,198.68,204.8340149
Amgen Inc,10/11/2019,200.8,197.7336273
Amgen Inc,10/14/2019,202.89,205.2105408
Amgen Inc,10/15/2019,204.66,206.1960297
Amgen Inc,10/16/2019,203.21,203.7429199
Amgen Inc,10/17/2019,203.56,204.7383118
Amgen Inc,10/18/2019,202.72,205.8771515
Amgen Inc,10/21/2019,202.93,205.997879
Amgen Inc,10/22/2019,204.83,201.1583862
Amgen Inc,10/23/2019,203.32,196.5068817
Amgen Inc,10/24/2019,203.06,195.4125519
Amgen Inc,10/25/2019,203.05,193.6408234
Amgen Inc,10/28/2019,205.01,194.7749329
Amgen Inc,10/29/2019,208.99,193.2943726
Amgen Inc,10/30/2019,210.88,195.5521851
Amgen Inc,10/31/2019,213.25,193.9494476
Amgen Inc,11/1/2019,217.95,194.6202545
Amgen Inc,11/4/2019,214.41,195.7330475
Amgen Inc,11/5/2019,215.08,196.6560364
Amgen Inc,11/6/2019,216.4,195.674469
Amgen Inc,11/7/2019,217.99,195.3268127
Amgen Inc,11/8/2019,221.11,194.7587891
Amgen Inc,11/11/2019,220.7,194.4512482
Amgen Inc,11/12/2019,221.31,193.1897736
Amgen Inc,11/13/2019,219.67,192.867569
Amgen Inc,11/14/2019,218.5,189.3313751
Amgen Inc,11/15/2019,220.86,192.1386108
Amgen Inc,11/18/2019,220.67,194.80159
Amgen Inc,11/19/2019,224.5,196.3743591
Amgen Inc,11/20/2019,225.51,195.3398743
Amgen Inc,11/21/2019,226.48,195.8875885
