Stock Name,timestamp,Actual Close,Predicted Close
Costco Wholesale Corp,2019-10-11,297.6,289.0722351074219
Costco Wholesale Corp,2019-10-14,297.52,289.5147399902344
Costco Wholesale Corp,2019-10-15,298.39,288.95709228515625
Costco Wholesale Corp,2019-10-16,298.78,287.46002197265625
Costco Wholesale Corp,2019-10-17,302.4,287.4774475097656
Costco Wholesale Corp,2019-10-18,302.86,288.60009765625
Costco Wholesale Corp,2019-10-21,301.08,291.77056884765625
Costco Wholesale Corp,2019-10-22,299.97,293.05963134765625
Costco Wholesale Corp,2019-10-23,297.32,292.2411193847656
Costco Wholesale Corp,2019-10-24,297.05,289.0371398925781
Costco Wholesale Corp,2019-10-25,296.5,285.9471435546875
Costco Wholesale Corp,2019-10-28,298.94,284.9687805175781
Costco Wholesale Corp,2019-10-29,295.86,284.5184326171875
Costco Wholesale Corp,2019-10-30,299.84,285.162353515625
Costco Wholesale Corp,2019-10-31,297.11,286.3151550292969
Costco Wholesale Corp,2019-11-01,296.09,285.7537536621094
Costco Wholesale Corp,2019-11-04,296.82,284.06341552734375
Costco Wholesale Corp,2019-11-05,299.18,282.9209289550781
Costco Wholesale Corp,2019-11-06,301.57,282.6620788574219
Costco Wholesale Corp,2019-11-07,305.21,283.053466796875
Costco Wholesale Corp,2019-11-08,302.62,283.436279296875
Costco Wholesale Corp,2019-11-11,300.84,282.898681640625
Costco Wholesale Corp,2019-11-12,300.5,282.7279052734375
Costco Wholesale Corp,2019-11-13,302.9,281.6199645996094
Costco Wholesale Corp,2019-11-14,304.59,280.78228759765625
Costco Wholesale Corp,2019-11-15,303.66,281.614013671875
Costco Wholesale Corp,2019-11-18,304.54,283.7014465332031
Costco Wholesale Corp,2019-11-19,302.24,285.91656494140625
Costco Wholesale Corp,2019-11-20,300.57,286.7115478515625
Costco Wholesale Corp,2019-11-21,301.22,287.97735595703125
Costco Wholesale Corp,2019-08-29,296.57,286.3330993652344
Costco Wholesale Corp,2019-08-30,294.76,285.3092346191406
Costco Wholesale Corp,2019-09-03,292.05,280.7274169921875
Costco Wholesale Corp,2019-09-04,296.12,276.9501953125
Costco Wholesale Corp,2019-09-05,296.97,275.9562683105469
Costco Wholesale Corp,2019-09-06,303.76,277.1341552734375
Costco Wholesale Corp,2019-09-09,299.0,278.1412658691406
Costco Wholesale Corp,2019-09-10,297.0,278.7957763671875
Costco Wholesale Corp,2019-09-11,290.69,278.5606384277344
Costco Wholesale Corp,2019-09-12,289.89,277.8258361816406
Costco Wholesale Corp,2019-09-13,291.9,275.9836730957031
Costco Wholesale Corp,2019-09-16,288.69,274.0993957519531
Costco Wholesale Corp,2019-09-17,291.41,272.47198486328125
Costco Wholesale Corp,2019-09-18,292.43,269.197998046875
Costco Wholesale Corp,2019-09-19,287.83,267.7132263183594
Costco Wholesale Corp,2019-09-20,286.36,269.7617492675781
Costco Wholesale Corp,2019-09-23,287.57,272.69989013671875
Costco Wholesale Corp,2019-09-24,287.91,273.85675048828125
Costco Wholesale Corp,2019-09-25,288.51,272.4810791015625
Costco Wholesale Corp,2019-09-26,288.26,272.26849365234375
Costco Wholesale Corp,2019-09-27,285.95,270.4429016113281
Costco Wholesale Corp,2019-09-30,288.11,269.47149658203125
Costco Wholesale Corp,2019-10-01,283.93,270.4832458496094
Costco Wholesale Corp,2019-10-02,285.11,272.5063781738281
Costco Wholesale Corp,2019-10-03,289.0,272.9299011230469
Costco Wholesale Corp,2019-10-04,291.67,273.0519104003906
Costco Wholesale Corp,2019-10-07,293.41,274.6531677246094
Costco Wholesale Corp,2019-10-08,291.89,274.3891296386719
Costco Wholesale Corp,2019-10-09,296.9,274.5633239746094
Costco Wholesale Corp,2019-10-10,297.14,280.00537109375
