Stock Name,timestamp,Actual Close,Predicted Close
Amgen Inc,2019-11-13,219.67,213.71063232421875
Amgen Inc,2019-11-14,218.5,214.81991577148438
Amgen Inc,2019-11-15,220.86,215.5281982421875
Amgen Inc,2019-11-18,220.67,215.8177490234375
Amgen Inc,2019-11-19,224.5,215.7678680419922
Amgen Inc,2019-11-20,225.51,215.5472412109375
Amgen Inc,2019-11-21,226.48,215.2953643798828
Amgen Inc,2019-11-04,214.41,201.6758270263672
Amgen Inc,2019-11-05,215.08,202.4908905029297
Amgen Inc,2019-11-06,216.4,203.2051544189453
Amgen Inc,2019-11-07,217.99,203.6407012939453
Amgen Inc,2019-11-08,221.11,203.79354858398438
Amgen Inc,2019-11-11,220.7,203.76275634765625
Amgen Inc,2019-11-12,221.31,203.7089385986328
Amgen Inc,2019-10-24,203.06,200.29673767089844
Amgen Inc,2019-10-25,203.05,200.8762664794922
Amgen Inc,2019-10-28,205.01,201.28201293945312
Amgen Inc,2019-10-29,208.99,201.5233917236328
Amgen Inc,2019-10-30,210.88,201.60733032226562
Amgen Inc,2019-10-31,213.25,201.5564422607422
Amgen Inc,2019-11-01,217.95,201.4342041015625
Amgen Inc,2019-10-15,204.66,195.4686737060547
Amgen Inc,2019-10-16,203.21,196.153076171875
Amgen Inc,2019-10-17,203.56,196.8047332763672
Amgen Inc,2019-10-18,202.72,197.30123901367188
Amgen Inc,2019-10-21,202.93,197.5806121826172
Amgen Inc,2019-10-22,204.83,197.6653289794922
Amgen Inc,2019-10-23,203.32,197.64321899414062
Amgen Inc,2019-10-04,195.59,194.2252960205078
Amgen Inc,2019-10-07,197.17,194.00930786132812
Amgen Inc,2019-10-08,196.08,193.73422241210938
Amgen Inc,2019-10-09,196.69,193.4711151123047
Amgen Inc,2019-10-10,198.68,193.24143981933594
Amgen Inc,2019-10-11,200.8,193.0416259765625
Amgen Inc,2019-10-14,202.89,192.7963104248047
