Stock Name,timestamp,Actual Close,Predicted Close
Biogen Inc,7/18/2019,232.23,235.7246857
Biogen Inc,7/19/2019,231.27,235.1376038
Biogen Inc,7/22/2019,232.48,234.4816437
Biogen Inc,7/23/2019,243.88,233.7620544
Biogen Inc,7/24/2019,241.24,233.0200653
Biogen Inc,7/25/2019,238.21,232.3117523
Biogen Inc,7/26/2019,238.21,231.6985168
Biogen Inc,7/29/2019,237.11,231.2324066
Biogen Inc,7/30/2019,241.51,230.9093933
Biogen Inc,7/31/2019,237.82,230.7371216
Biogen Inc,8/1/2019,243.06,230.7273254
Biogen Inc,8/2/2019,242.27,230.8863678
Biogen Inc,8/5/2019,235.21,231.2130432
Biogen Inc,8/6/2019,240.17,231.7263641
Biogen Inc,8/7/2019,237.58,232.3996277
Biogen Inc,8/8/2019,238.23,233.2202148
Biogen Inc,8/9/2019,235.8,234.1450043
Biogen Inc,8/12/2019,230.96,235.131958
Biogen Inc,8/13/2019,233.23,236.0822754
Biogen Inc,8/14/2019,226.72,236.9148865
Biogen Inc,8/15/2019,227.63,237.586792
Biogen Inc,8/16/2019,231.68,238.10289
Biogen Inc,8/19/2019,235.72,238.4511566
Biogen Inc,8/20/2019,231.28,238.5946045
Biogen Inc,8/21/2019,233.18,238.5437317
Biogen Inc,8/22/2019,232.06,238.3199005
Biogen Inc,8/23/2019,225.85,237.9490814
Biogen Inc,8/26/2019,223.76,237.4639282
Biogen Inc,8/27/2019,220.79,236.9230804
Biogen Inc,8/28/2019,221.07,236.367218
Biogen Inc,8/29/2019,220.16,236.3668671
Biogen Inc,8/30/2019,219.75,235.5563202
Biogen Inc,9/3/2019,217.44,234.8235321
Biogen Inc,9/4/2019,219.29,234.287323
Biogen Inc,9/5/2019,223.96,234.1347656
Biogen Inc,9/6/2019,224.57,234.4732971
Biogen Inc,9/9/2019,230,235.2814636
Biogen Inc,9/10/2019,233,236.4554443
Biogen Inc,9/11/2019,235.96,237.8416443
Biogen Inc,9/12/2019,232.31,239.3282928
Biogen Inc,9/13/2019,236.63,240.789093
Biogen Inc,9/16/2019,236.12,242.1696472
Biogen Inc,9/17/2019,238.7,243.4394684
Biogen Inc,9/18/2019,235.17,244.5051575
Biogen Inc,9/19/2019,235.62,245.333725
Biogen Inc,9/20/2019,238.79,245.9042206
Biogen Inc,9/23/2019,239.96,246.2255096
Biogen Inc,9/24/2019,236.2,246.3036804
Biogen Inc,9/25/2019,235.9,246.1086121
Biogen Inc,9/26/2019,230.22,245.6524963
Biogen Inc,9/27/2019,230.22,244.9156036
Biogen Inc,9/30/2019,232.82,243.911087
Biogen Inc,10/1/2019,227.2,242.73172
Biogen Inc,10/2/2019,221.26,241.5377045
Biogen Inc,10/3/2019,222.5,240.4350128
Biogen Inc,10/4/2019,224,239.5042877
Biogen Inc,10/7/2019,226.99,238.780365
Biogen Inc,10/8/2019,221.94,238.2016449
Biogen Inc,10/9/2019,222.13,237.6647797
Biogen Inc,10/10/2019,223,237.0544739
Biogen Inc,10/11/2019,223.21,231.7414551
Biogen Inc,10/14/2019,225.76,230.6539764
Biogen Inc,10/15/2019,226.06,229.6723785
Biogen Inc,10/16/2019,227.72,228.7756958
Biogen Inc,10/17/2019,225.6,227.9598083
Biogen Inc,10/18/2019,220.06,227.2690735
Biogen Inc,10/21/2019,223.51,226.7550049
Biogen Inc,10/22/2019,281.87,226.4941254
Biogen Inc,10/23/2019,278.82,226.5597382
Biogen Inc,10/24/2019,285.68,227.0040131
Biogen Inc,10/25/2019,288.04,227.7939758
Biogen Inc,10/28/2019,295.54,228.8808746
Biogen Inc,10/29/2019,297.5,230.1882172
Biogen Inc,10/30/2019,299.89,231.6450958
Biogen Inc,10/31/2019,298.71,233.1460876
Biogen Inc,11/1/2019,299.2,234.5891571
Biogen Inc,11/4/2019,293.43,235.920929
Biogen Inc,11/5/2019,292.18,237.1244202
Biogen Inc,11/6/2019,289,238.1626282
Biogen Inc,11/7/2019,286.87,239.0010834
Biogen Inc,11/8/2019,293.25,239.5714111
Biogen Inc,11/11/2019,294.14,239.828598
Biogen Inc,11/12/2019,291.4,239.7927399
Biogen Inc,11/13/2019,281.89,239.4721069
Biogen Inc,11/14/2019,275.15,238.8412628
Biogen Inc,11/15/2019,282.27,237.9126129
Biogen Inc,11/18/2019,282.62,236.7527313
Biogen Inc,11/19/2019,285.43,235.481369
Biogen Inc,11/20/2019,285.4,234.1789551
Biogen Inc,11/21/2019,286.58,232.9061737
