Stock Name,timestamp,Actual Close,Predicted Close
Booking Holdings Inc,7/18/2019,1885.91,1844.570923
Booking Holdings Inc,7/19/2019,1882.09,1846.29187
Booking Holdings Inc,7/22/2019,1893.7,1846.676025
Booking Holdings Inc,7/23/2019,1900.25,1845.580933
Booking Holdings Inc,7/24/2019,1919.25,1843.044189
Booking Holdings Inc,7/25/2019,1926.13,1839.314087
Booking Holdings Inc,7/26/2019,1966.85,1834.703491
Booking Holdings Inc,7/29/2019,1919.55,1829.57666
Booking Holdings Inc,7/30/2019,1916.59,1824.1521
Booking Holdings Inc,7/31/2019,1886.61,1818.612549
Booking Holdings Inc,8/1/2019,1879.86,1813.207397
Booking Holdings Inc,8/2/2019,1846.08,1808.271484
Booking Holdings Inc,8/5/2019,1788.6,1804.15332
Booking Holdings Inc,8/6/2019,1786.52,1801.168213
Booking Holdings Inc,8/7/2019,1821.56,1799.469971
Booking Holdings Inc,8/8/2019,1941.01,1798.986206
Booking Holdings Inc,8/9/2019,1917.69,1799.472656
Booking Holdings Inc,8/12/2019,1916.89,1800.690308
Booking Holdings Inc,8/13/2019,1943.19,1802.515137
Booking Holdings Inc,8/14/2019,1891.19,1804.933838
Booking Holdings Inc,8/15/2019,1904.67,1807.968628
Booking Holdings Inc,8/16/2019,1922.19,1811.649658
Booking Holdings Inc,8/19/2019,1943.73,1815.978027
Booking Holdings Inc,8/20/2019,1934.4,1820.718994
Booking Holdings Inc,8/21/2019,1955.75,1825.594727
Booking Holdings Inc,8/22/2019,1952.47,1830.317017
Booking Holdings Inc,8/23/2019,1898.67,1834.666626
Booking Holdings Inc,8/26/2019,1916.8101,1838.528564
Booking Holdings Inc,8/27/2019,1919.99,1841.854736
Booking Holdings Inc,8/28/2019,1942,1844.670288
Booking Holdings Inc,8/29/2019,1957.14,1906.525391
Booking Holdings Inc,8/30/2019,1966.41,1909.088867
Booking Holdings Inc,9/3/2019,1941.78,1910.941772
Booking Holdings Inc,9/4/2019,1958.79,1912.015747
Booking Holdings Inc,9/5/2019,1994.4399,1912.363159
Booking Holdings Inc,9/6/2019,1967.63,1912.172729
Booking Holdings Inc,9/9/2019,1992.25,1911.689453
Booking Holdings Inc,9/10/2019,2018.76,1911.297241
Booking Holdings Inc,9/11/2019,2050.1599,1911.130493
Booking Holdings Inc,9/12/2019,2041.41,1911.195801
Booking Holdings Inc,9/13/2019,2063.8999,1911.320923
Booking Holdings Inc,9/16/2019,2072.95,1911.291382
Booking Holdings Inc,9/17/2019,2077.4399,1910.802124
Booking Holdings Inc,9/18/2019,2058.3701,1909.393555
Booking Holdings Inc,9/19/2019,2058.5701,1906.72937
Booking Holdings Inc,9/20/2019,2031.5699,1902.810303
Booking Holdings Inc,9/23/2019,2009.41,1898.301758
Booking Holdings Inc,9/24/2019,1990.64,1893.858398
Booking Holdings Inc,9/25/2019,1993.53,1890.00647
Booking Holdings Inc,9/26/2019,1978.45,1887.199097
Booking Holdings Inc,9/27/2019,1944.25,1885.490967
Booking Holdings Inc,9/30/2019,1962.61,1884.80957
Booking Holdings Inc,10/1/2019,1978.03,1885.068726
Booking Holdings Inc,10/2/2019,1941.4399,1886.231445
Booking Holdings Inc,10/3/2019,1961.45,1888.183594
Booking Holdings Inc,10/4/2019,1983.2,1890.860107
Booking Holdings Inc,10/7/2019,1951.5601,1894.154541
Booking Holdings Inc,10/8/2019,1938.1899,1897.708008
Booking Holdings Inc,10/9/2019,1943.33,1901.226196
Booking Holdings Inc,10/10/2019,1962.91,1904.495605
Booking Holdings Inc,10/11/2019,1977.1801,1984.887451
Booking Holdings Inc,10/14/2019,1988.75,1981.121948
Booking Holdings Inc,10/15/2019,2016.39,1977.661255
Booking Holdings Inc,10/16/2019,2027.63,1974.505493
Booking Holdings Inc,10/17/2019,2028.53,1971.690063
Booking Holdings Inc,10/18/2019,2013.53,1969.374268
Booking Holdings Inc,10/21/2019,2022.24,1967.582886
Booking Holdings Inc,10/22/2019,2023.05,1966.382935
Booking Holdings Inc,10/23/2019,2032.23,1965.909302
Booking Holdings Inc,10/24/2019,2043.75,1966.35376
Booking Holdings Inc,10/25/2019,2055.9299,1967.788696
Booking Holdings Inc,10/28/2019,2057.05,1970.265137
Booking Holdings Inc,10/29/2019,2042.8,1973.776489
Booking Holdings Inc,10/30/2019,2049.55,1978.243164
Booking Holdings Inc,10/31/2019,2048.77,1983.431152
Booking Holdings Inc,11/1/2019,2032.02,1989.068237
Booking Holdings Inc,11/4/2019,2007.6801,1994.776855
Booking Holdings Inc,11/5/2019,2025.4301,2000.151001
Booking Holdings Inc,11/6/2019,2012.09,2004.794312
Booking Holdings Inc,11/7/2019,1849.9301,2008.453613
Booking Holdings Inc,11/8/2019,1879.1899,2010.96167
Booking Holdings Inc,11/11/2019,1896.04,2012.137451
Booking Holdings Inc,11/12/2019,1875.84,2011.997314
Booking Holdings Inc,11/13/2019,1859.09,2010.730591
Booking Holdings Inc,11/14/2019,1865.55,2008.452026
Booking Holdings Inc,11/15/2019,1848.8199,2005.380005
Booking Holdings Inc,11/18/2019,1838.03,2001.841309
Booking Holdings Inc,11/19/2019,1845.3,1998.023071
Booking Holdings Inc,11/20/2019,1851.8199,1994.013062
Booking Holdings Inc,11/21/2019,1866.95,1989.901978
