Stock Name,timestamp,Actual Close,Predicted Close
Booking Holdings Inc,2019-10-11,1977.1801,1985.7210693359375
Booking Holdings Inc,2019-10-14,1988.75,1988.1463623046875
Booking Holdings Inc,2019-10-15,2016.39,1991.5980224609375
Booking Holdings Inc,2019-10-16,2027.63,1995.3466796875
Booking Holdings Inc,2019-10-17,2028.53,1999.078857421875
Booking Holdings Inc,2019-10-18,2013.53,2003.28076171875
Booking Holdings Inc,2019-10-21,2022.24,2007.7017822265625
Booking Holdings Inc,2019-10-22,2023.05,2012.4271240234375
Booking Holdings Inc,2019-10-23,2032.23,2017.909423828125
Booking Holdings Inc,2019-10-24,2043.75,2024.862060546875
Booking Holdings Inc,2019-10-25,2055.9299,2033.200927734375
Booking Holdings Inc,2019-10-28,2057.05,2042.7781982421875
Booking Holdings Inc,2019-10-29,2042.8,2053.208251953125
Booking Holdings Inc,2019-10-30,2049.55,2063.876708984375
Booking Holdings Inc,2019-10-31,2048.77,2073.604248046875
Booking Holdings Inc,2019-11-01,2032.02,2081.41748046875
Booking Holdings Inc,2019-11-04,2007.6801,2086.188720703125
Booking Holdings Inc,2019-11-05,2025.4301,2087.02734375
Booking Holdings Inc,2019-11-06,2012.09,2083.513916015625
Booking Holdings Inc,2019-11-07,1849.9301,2076.16552734375
Booking Holdings Inc,2019-11-08,1879.1899,2065.804443359375
Booking Holdings Inc,2019-11-11,1896.04,2052.95068359375
Booking Holdings Inc,2019-11-12,1875.84,2038.8729248046875
Booking Holdings Inc,2019-11-13,1859.09,2025.246337890625
Booking Holdings Inc,2019-11-14,1865.55,2012.7681884765625
Booking Holdings Inc,2019-11-15,1848.8199,2002.29833984375
Booking Holdings Inc,2019-11-18,1838.03,1994.839599609375
Booking Holdings Inc,2019-11-19,1845.3,1990.2904052734375
Booking Holdings Inc,2019-11-20,1851.8199,1987.955078125
Booking Holdings Inc,2019-11-21,1866.95,1987.227294921875
Booking Holdings Inc,2019-08-29,1957.14,1932.6585693359375
Booking Holdings Inc,2019-08-30,1966.41,1928.2047119140625
Booking Holdings Inc,2019-09-03,1941.78,1921.709716796875
Booking Holdings Inc,2019-09-04,1958.79,1913.8726806640625
Booking Holdings Inc,2019-09-05,1994.4399,1905.76806640625
Booking Holdings Inc,2019-09-06,1967.63,1898.8206787109375
Booking Holdings Inc,2019-09-09,1992.25,1894.1666259765625
Booking Holdings Inc,2019-09-10,2018.76,1893.27880859375
Booking Holdings Inc,2019-09-11,2050.1599,1895.487548828125
Booking Holdings Inc,2019-09-12,2041.41,1899.5244140625
Booking Holdings Inc,2019-09-13,2063.8999,1903.4234619140625
Booking Holdings Inc,2019-09-16,2072.95,1905.680908203125
Booking Holdings Inc,2019-09-17,2077.4399,1904.85205078125
Booking Holdings Inc,2019-09-18,2058.3701,1899.2359619140625
Booking Holdings Inc,2019-09-19,2058.5701,1888.602294921875
Booking Holdings Inc,2019-09-20,2031.5699,1874.794677734375
Booking Holdings Inc,2019-09-23,2009.41,1862.7650146484375
Booking Holdings Inc,2019-09-24,1990.64,1855.6689453125
Booking Holdings Inc,2019-09-25,1993.53,1854.77783203125
Booking Holdings Inc,2019-09-26,1978.45,1860.3775634765625
Booking Holdings Inc,2019-09-27,1944.25,1870.1575927734375
Booking Holdings Inc,2019-09-30,1962.61,1881.7774658203125
Booking Holdings Inc,2019-10-01,1978.03,1893.651123046875
Booking Holdings Inc,2019-10-02,1941.4399,1905.13916015625
Booking Holdings Inc,2019-10-03,1961.45,1915.5086669921875
Booking Holdings Inc,2019-10-04,1983.2,1924.7130126953125
Booking Holdings Inc,2019-10-07,1951.5601,1932.5963134765625
Booking Holdings Inc,2019-10-08,1938.1899,1937.621337890625
Booking Holdings Inc,2019-10-09,1943.33,1939.34619140625
Booking Holdings Inc,2019-10-10,1962.91,1938.0736083984375
Booking Holdings Inc,2019-07-18,1885.91,1814.897216796875
Booking Holdings Inc,2019-07-19,1882.09,1809.3311767578125
Booking Holdings Inc,2019-07-22,1893.7,1799.051513671875
Booking Holdings Inc,2019-07-23,1900.25,1785.1395263671875
Booking Holdings Inc,2019-07-24,1919.25,1769.9095458984375
Booking Holdings Inc,2019-07-25,1926.13,1756.4031982421875
Booking Holdings Inc,2019-07-26,1966.85,1746.6219482421875
Booking Holdings Inc,2019-07-29,1919.55,1741.7181396484375
Booking Holdings Inc,2019-07-30,1916.59,1740.6240234375
Booking Holdings Inc,2019-07-31,1886.61,1742.0399169921875
Booking Holdings Inc,2019-08-01,1879.86,1745.6494140625
Booking Holdings Inc,2019-08-02,1846.08,1752.053955078125
Booking Holdings Inc,2019-08-05,1788.6,1761.760986328125
Booking Holdings Inc,2019-08-06,1786.52,1774.7957763671875
Booking Holdings Inc,2019-08-07,1821.56,1789.7188720703125
Booking Holdings Inc,2019-08-08,1941.01,1803.7581787109375
Booking Holdings Inc,2019-08-09,1917.69,1814.1693115234375
Booking Holdings Inc,2019-08-12,1916.89,1820.1258544921875
Booking Holdings Inc,2019-08-13,1943.19,1822.900146484375
Booking Holdings Inc,2019-08-14,1891.19,1824.6890869140625
Booking Holdings Inc,2019-08-15,1904.67,1827.2198486328125
Booking Holdings Inc,2019-08-16,1922.19,1831.478759765625
Booking Holdings Inc,2019-08-19,1943.73,1837.5506591796875
Booking Holdings Inc,2019-08-20,1934.4,1843.01904296875
Booking Holdings Inc,2019-08-21,1955.75,1846.117919921875
Booking Holdings Inc,2019-08-22,1952.47,1845.9110107421875
Booking Holdings Inc,2019-08-23,1898.67,1842.734130859375
Booking Holdings Inc,2019-08-26,1916.8101,1837.8612060546875
Booking Holdings Inc,2019-08-27,1919.99,1832.5853271484375
Booking Holdings Inc,2019-08-28,1942.0,1828.1343994140625
