Stock Name,timestamp,Actual Close,Predicted Close
Celgene Corp,7/18/2019,90.91,94.58721924
Celgene Corp,7/19/2019,90.2,94.47338867
Celgene Corp,7/22/2019,89.47,94.42183685
Celgene Corp,7/23/2019,89.82,94.44458771
Celgene Corp,7/24/2019,89.94,94.54026794
Celgene Corp,7/25/2019,92.17,94.70333099
Celgene Corp,7/26/2019,92.76,94.92684937
Celgene Corp,7/29/2019,92.99,95.19954681
Celgene Corp,7/30/2019,92.61,95.50746918
Celgene Corp,7/31/2019,91.86,95.84038544
Celgene Corp,8/1/2019,93.05,96.18704224
Celgene Corp,8/2/2019,93.87,96.54022217
Celgene Corp,8/5/2019,92.88,96.8950119
Celgene Corp,8/6/2019,93.57,97.25119781
Celgene Corp,8/7/2019,93.97,97.57148743
Celgene Corp,8/8/2019,95.29,97.81525421
Celgene Corp,8/9/2019,95.14,97.94802856
Celgene Corp,8/12/2019,94.07,97.95119476
Celgene Corp,8/13/2019,94.2,97.82397461
Celgene Corp,8/14/2019,92.89,97.58670807
Celgene Corp,8/15/2019,93.31,97.27165222
Celgene Corp,8/16/2019,94.74,96.91653442
Celgene Corp,8/19/2019,95.22,96.55169678
Celgene Corp,8/20/2019,95.26,96.19794464
Celgene Corp,8/21/2019,95.68,95.87272644
Celgene Corp,8/22/2019,95.71,95.5868454
Celgene Corp,8/23/2019,93.99,95.33844757
Celgene Corp,8/26/2019,97,95.11867523
Celgene Corp,8/27/2019,96.7,94.91708374
Celgene Corp,8/28/2019,97.49,94.79611969
Celgene Corp,8/29/2019,97.11,94.91675568
Celgene Corp,8/30/2019,96.8,94.98110962
Celgene Corp,9/3/2019,96.86,94.95854187
Celgene Corp,9/4/2019,96.97,94.82765198
Celgene Corp,9/5/2019,97.51,94.58424377
Celgene Corp,9/6/2019,97.15,94.23926544
Celgene Corp,9/9/2019,97.07,93.82746887
Celgene Corp,9/10/2019,97.65,93.39258575
Celgene Corp,9/11/2019,98.41,92.97666931
Celgene Corp,9/12/2019,98.63,92.61058807
Celgene Corp,9/13/2019,98.4,92.30912018
Celgene Corp,9/16/2019,98.38,92.08376312
Celgene Corp,9/17/2019,98.6,91.94387054
Celgene Corp,9/18/2019,98.67,91.88599396
Celgene Corp,9/19/2019,98.95,91.90349579
Celgene Corp,9/20/2019,99.37,91.98853302
Celgene Corp,9/23/2019,99.42,92.13850403
Celgene Corp,9/24/2019,98.62,92.3478241
Celgene Corp,9/25/2019,98.56,92.6003418
Celgene Corp,9/26/2019,98.59,92.87744904
Celgene Corp,9/27/2019,98.85,93.1526413
Celgene Corp,9/30/2019,99.3,93.40441895
Celgene Corp,10/1/2019,99.26,93.62643433
Celgene Corp,10/2/2019,97.62,93.82196808
Celgene Corp,10/3/2019,98.42,93.99754333
Celgene Corp,10/4/2019,99.87,94.1619873
Celgene Corp,10/7/2019,99.7,94.32254028
Celgene Corp,10/8/2019,98.88,94.47270203
Celgene Corp,10/9/2019,99.63,94.62174225
Celgene Corp,10/10/2019,99.81,101.8971939
Celgene Corp,10/11/2019,100.57,101.9124527
Celgene Corp,10/14/2019,100.39,101.9022064
Celgene Corp,10/15/2019,100.95,101.8498383
Celgene Corp,10/16/2019,100.97,101.7481689
Celgene Corp,10/17/2019,101.8,101.5998459
Celgene Corp,10/18/2019,102.95,101.4188614
Celgene Corp,10/21/2019,103.4,101.2189484
Celgene Corp,10/22/2019,104.7,101.0124512
Celgene Corp,10/23/2019,104.99,100.8152161
Celgene Corp,10/24/2019,104.52,100.6471329
Celgene Corp,10/25/2019,105.21,100.5249939
Celgene Corp,10/28/2019,105.7,100.4560318
Celgene Corp,10/29/2019,106.3,100.439743
Celgene Corp,10/30/2019,107.17,100.4720154
Celgene Corp,10/31/2019,108.03,100.545929
Celgene Corp,11/1/2019,108.53,100.6547318
Celgene Corp,11/4/2019,107.8,100.7942352
Celgene Corp,11/5/2019,107.69,100.9592133
Celgene Corp,11/6/2019,108.24,101.1354141
Celgene Corp,11/7/2019,109,101.3076477
Celgene Corp,11/8/2019,109.54,101.4636154
Celgene Corp,11/11/2019,109.57,101.5974121
Celgene Corp,11/12/2019,110,101.7110291
Celgene Corp,11/13/2019,110.41,101.8080292
Celgene Corp,11/14/2019,110.02,101.8769913
Celgene Corp,11/15/2019,110.02,101.9147873
Celgene Corp,11/18/2019,109.32,101.9356537
Celgene Corp,11/19/2019,108.13,101.9535904
Celgene Corp,11/20/2019,108.24,101.9718018
