Stock Name,timestamp,Actual Close,Predicted Close
Cisco Systems Inc,7/18/2019,57.74,55.41312408
Cisco Systems Inc,7/19/2019,57.36,55.4923172
Cisco Systems Inc,7/22/2019,57.73,55.56025696
Cisco Systems Inc,7/23/2019,57.71,55.6111908
Cisco Systems Inc,7/24/2019,57.23,55.64448547
Cisco Systems Inc,7/25/2019,56.62,55.66425705
Cisco Systems Inc,7/26/2019,56.53,55.67157364
Cisco Systems Inc,7/29/2019,56.93,55.6681366
Cisco Systems Inc,7/30/2019,56.47,55.65113449
Cisco Systems Inc,7/31/2019,55.4,55.61997986
Cisco Systems Inc,8/1/2019,55.39,55.57754898
Cisco Systems Inc,8/2/2019,53.25,55.5279808
Cisco Systems Inc,8/5/2019,51.37,55.47968674
Cisco Systems Inc,8/6/2019,52.6,55.43919373
Cisco Systems Inc,8/7/2019,52.34,55.41145706
Cisco Systems Inc,8/8/2019,53.16,55.39559174
Cisco Systems Inc,8/9/2019,52.43,55.39055634
Cisco Systems Inc,8/12/2019,51.54,55.39189148
Cisco Systems Inc,8/13/2019,52.72,55.39161301
Cisco Systems Inc,8/14/2019,50.61,55.38251114
Cisco Systems Inc,8/15/2019,46.25,55.36316299
Cisco Systems Inc,8/16/2019,46.96,55.33691406
Cisco Systems Inc,8/19/2019,48.5,55.30859756
Cisco Systems Inc,8/20/2019,47.93,55.28141022
Cisco Systems Inc,8/21/2019,48.77,55.25799942
Cisco Systems Inc,8/22/2019,48.18,55.24266052
Cisco Systems Inc,8/23/2019,46.61,55.23941803
Cisco Systems Inc,8/26/2019,47.1,55.25297928
Cisco Systems Inc,8/27/2019,46.79,55.28660202
Cisco Systems Inc,8/28/2019,46.87,55.3400383
Cisco Systems Inc,8/29/2019,47.27,52.40673447
Cisco Systems Inc,8/30/2019,46.81,52.02006912
Cisco Systems Inc,9/3/2019,46.5,51.74591827
Cisco Systems Inc,9/4/2019,47.32,51.6197319
Cisco Systems Inc,9/5/2019,48.42,51.65832901
Cisco Systems Inc,9/6/2019,48.84,51.85829544
Cisco Systems Inc,9/9/2019,48.58,52.19903946
Cisco Systems Inc,9/10/2019,49.21,52.65024567
Cisco Systems Inc,9/11/2019,50.03,53.17979813
Cisco Systems Inc,9/12/2019,49.93,53.75432968
Cisco Systems Inc,9/13/2019,50.03,54.33912659
Cisco Systems Inc,9/16/2019,49.96,54.90475845
Cisco Systems Inc,9/17/2019,49.41,55.42023087
Cisco Systems Inc,9/18/2019,49.34,55.85494995
Cisco Systems Inc,9/19/2019,49.19,56.19346237
Cisco Systems Inc,9/20/2019,49.6,56.43051147
Cisco Systems Inc,9/23/2019,49.42,56.57279587
Cisco Systems Inc,9/24/2019,49.12,56.6300087
Cisco Systems Inc,9/25/2019,49.61,56.61101532
Cisco Systems Inc,9/26/2019,48.83,56.53094482
Cisco Systems Inc,9/27/2019,48.84,56.39749908
Cisco Systems Inc,9/30/2019,49.41,56.20021057
Cisco Systems Inc,10/1/2019,47.74,55.9326973
Cisco Systems Inc,10/2/2019,46.56,55.60102844
Cisco Systems Inc,10/3/2019,47.06,55.215271
Cisco Systems Inc,10/4/2019,47.52,54.79209137
Cisco Systems Inc,10/7/2019,47.77,54.34720612
Cisco Systems Inc,10/8/2019,46.39,53.88898468
Cisco Systems Inc,10/9/2019,46.84,53.42608261
Cisco Systems Inc,10/10/2019,46.15,52.96567535
Cisco Systems Inc,10/11/2019,46.56,47.01338959
Cisco Systems Inc,10/14/2019,46.05,46.87379456
Cisco Systems Inc,10/15/2019,46.36,46.73012924
Cisco Systems Inc,10/16/2019,46.79,46.58594131
Cisco Systems Inc,10/17/2019,47.03,46.44712448
Cisco Systems Inc,10/18/2019,46.71,46.32303619
Cisco Systems Inc,10/21/2019,47.39,46.22296524
Cisco Systems Inc,10/22/2019,47.55,46.15211487
Cisco Systems Inc,10/23/2019,47.05,46.11451721
Cisco Systems Inc,10/24/2019,46.41,46.11427307
Cisco Systems Inc,10/25/2019,46.9,46.15199661
Cisco Systems Inc,10/28/2019,47.17,46.22543716
Cisco Systems Inc,10/29/2019,47.24,46.32961655
Cisco Systems Inc,10/30/2019,47.56,46.45578003
Cisco Systems Inc,10/31/2019,47.51,46.59436798
Cisco Systems Inc,11/1/2019,47.03,46.73614502
Cisco Systems Inc,11/4/2019,47.48,46.87505341
Cisco Systems Inc,11/5/2019,47.76,47.00628281
Cisco Systems Inc,11/6/2019,48.27,47.1253624
Cisco Systems Inc,11/7/2019,48.42,47.23109818
Cisco Systems Inc,11/8/2019,48.83,47.32077026
Cisco Systems Inc,11/11/2019,48.1,47.39262009
Cisco Systems Inc,11/12/2019,48.37,47.44821167
Cisco Systems Inc,11/13/2019,48.46,47.48390198
Cisco Systems Inc,11/14/2019,44.91,47.49235916
Cisco Systems Inc,11/15/2019,45.09,47.47035599
Cisco Systems Inc,11/18/2019,45.15,47.41982269
Cisco Systems Inc,11/19/2019,45.47,47.3462677
Cisco Systems Inc,11/20/2019,45.08,47.25112915
Cisco Systems Inc,11/21/2019,44.82,47.13796997
