Stock Name,timestamp,Actual Close,Predicted Close
Cisco Systems Inc,2019-10-11,46.56,46.34999084472656
Cisco Systems Inc,2019-10-14,46.05,46.29228210449219
Cisco Systems Inc,2019-10-15,46.36,46.36909484863281
Cisco Systems Inc,2019-10-16,46.79,46.374610900878906
Cisco Systems Inc,2019-10-17,47.03,46.50724411010742
Cisco Systems Inc,2019-10-18,46.71,46.98818588256836
Cisco Systems Inc,2019-10-21,47.39,47.64447784423828
Cisco Systems Inc,2019-10-22,47.55,48.07093048095703
Cisco Systems Inc,2019-10-23,47.05,48.351776123046875
Cisco Systems Inc,2019-10-24,46.41,48.72047424316406
Cisco Systems Inc,2019-10-25,46.9,49.03759002685547
Cisco Systems Inc,2019-10-28,47.17,49.24380874633789
Cisco Systems Inc,2019-10-29,47.24,49.31644058227539
Cisco Systems Inc,2019-10-30,47.56,49.165653228759766
Cisco Systems Inc,2019-10-31,47.51,48.93873596191406
Cisco Systems Inc,2019-11-01,47.03,48.74091339111328
Cisco Systems Inc,2019-11-04,47.48,48.74968338012695
Cisco Systems Inc,2019-11-05,47.76,48.83242416381836
Cisco Systems Inc,2019-11-06,48.27,48.81168746948242
Cisco Systems Inc,2019-11-07,48.42,48.84061050415039
Cisco Systems Inc,2019-11-08,48.83,48.69559860229492
Cisco Systems Inc,2019-11-11,48.1,48.47557830810547
Cisco Systems Inc,2019-11-12,48.37,48.45441436767578
Cisco Systems Inc,2019-11-13,48.46,48.14331817626953
Cisco Systems Inc,2019-11-14,44.91,47.40619659423828
Cisco Systems Inc,2019-11-15,45.09,46.78224563598633
Cisco Systems Inc,2019-11-18,45.15,46.61662292480469
Cisco Systems Inc,2019-11-19,45.47,46.85599899291992
Cisco Systems Inc,2019-11-20,45.08,46.8425178527832
Cisco Systems Inc,2019-11-21,44.82,46.682987213134766
Cisco Systems Inc,2019-08-29,47.27,46.3255615234375
Cisco Systems Inc,2019-08-30,46.81,49.31943893432617
Cisco Systems Inc,2019-09-03,46.5,53.41269302368164
Cisco Systems Inc,2019-09-04,47.32,55.87963104248047
Cisco Systems Inc,2019-09-05,48.42,56.42630386352539
Cisco Systems Inc,2019-09-06,48.84,55.940101623535156
Cisco Systems Inc,2019-09-09,48.58,55.17036819458008
Cisco Systems Inc,2019-09-10,49.21,54.686279296875
Cisco Systems Inc,2019-09-11,50.03,54.772315979003906
Cisco Systems Inc,2019-09-12,49.93,55.016380310058594
Cisco Systems Inc,2019-09-13,50.03,54.90497970581055
Cisco Systems Inc,2019-09-16,49.96,54.669166564941406
Cisco Systems Inc,2019-09-17,49.41,53.81832504272461
Cisco Systems Inc,2019-09-18,49.34,52.42515563964844
Cisco Systems Inc,2019-09-19,49.19,51.60151672363281
Cisco Systems Inc,2019-09-20,49.6,51.33663558959961
Cisco Systems Inc,2019-09-23,49.42,51.644840240478516
Cisco Systems Inc,2019-09-24,49.12,51.855262756347656
Cisco Systems Inc,2019-09-25,49.61,51.57489776611328
Cisco Systems Inc,2019-09-26,48.83,51.446937561035156
Cisco Systems Inc,2019-09-27,48.84,50.86515808105469
Cisco Systems Inc,2019-09-30,49.41,49.017513275146484
Cisco Systems Inc,2019-10-01,47.74,47.219730377197266
Cisco Systems Inc,2019-10-02,46.56,46.520233154296875
Cisco Systems Inc,2019-10-03,47.06,46.66434097290039
Cisco Systems Inc,2019-10-04,47.52,47.35852813720703
Cisco Systems Inc,2019-10-07,47.77,47.88923263549805
Cisco Systems Inc,2019-10-08,46.39,47.627906799316406
Cisco Systems Inc,2019-10-09,46.84,47.08866882324219
Cisco Systems Inc,2019-10-10,46.15,46.56052017211914
Cisco Systems Inc,2019-07-18,57.74,56.265933990478516
Cisco Systems Inc,2019-07-19,57.36,55.49089813232422
Cisco Systems Inc,2019-07-22,57.73,54.78823471069336
Cisco Systems Inc,2019-07-23,57.71,54.624385833740234
Cisco Systems Inc,2019-07-24,57.23,54.9427490234375
Cisco Systems Inc,2019-07-25,56.62,55.52336120605469
Cisco Systems Inc,2019-07-26,56.53,55.662879943847656
Cisco Systems Inc,2019-07-29,56.93,55.58160400390625
Cisco Systems Inc,2019-07-30,56.47,55.09328842163086
Cisco Systems Inc,2019-07-31,55.4,54.73225784301758
Cisco Systems Inc,2019-08-01,55.39,54.75022888183594
Cisco Systems Inc,2019-08-02,53.25,54.971343994140625
Cisco Systems Inc,2019-08-05,51.37,55.498695373535156
Cisco Systems Inc,2019-08-06,52.6,55.86739730834961
Cisco Systems Inc,2019-08-07,52.34,56.0316276550293
Cisco Systems Inc,2019-08-08,53.16,55.772369384765625
Cisco Systems Inc,2019-08-09,52.43,55.54078674316406
Cisco Systems Inc,2019-08-12,51.54,55.22818374633789
Cisco Systems Inc,2019-08-13,52.72,54.7513542175293
Cisco Systems Inc,2019-08-14,50.61,54.36764144897461
Cisco Systems Inc,2019-08-15,46.25,54.44668960571289
Cisco Systems Inc,2019-08-16,46.96,54.908905029296875
Cisco Systems Inc,2019-08-19,48.5,55.38513946533203
Cisco Systems Inc,2019-08-20,47.93,55.54986572265625
Cisco Systems Inc,2019-08-21,48.77,55.526206970214844
Cisco Systems Inc,2019-08-22,48.18,55.626190185546875
Cisco Systems Inc,2019-08-23,46.61,55.80591583251953
Cisco Systems Inc,2019-08-26,47.1,56.11396408081055
Cisco Systems Inc,2019-08-27,46.79,56.392696380615234
Cisco Systems Inc,2019-08-28,46.87,56.44487762451172
