Stock Name,timestamp,Actual Close,Predicted Close
Costco Wholesale Corp,7/18/2019,282.91,277.7666626
Costco Wholesale Corp,7/19/2019,281.51,278.6530151
Costco Wholesale Corp,7/22/2019,280.17,279.3220215
Costco Wholesale Corp,7/23/2019,280.1,279.6710205
Costco Wholesale Corp,7/24/2019,280.83,279.6559448
Costco Wholesale Corp,7/25/2019,279.8,279.2807007
Costco Wholesale Corp,7/26/2019,281.37,278.5839233
Costco Wholesale Corp,7/29/2019,280.13,277.6373596
Costco Wholesale Corp,7/30/2019,279.5,276.5248413
Costco Wholesale Corp,7/31/2019,275.63,275.3348389
Costco Wholesale Corp,8/1/2019,274.57,274.1523438
Costco Wholesale Corp,8/2/2019,272.5,273.0512695
Costco Wholesale Corp,8/5/2019,265.1,272.1033325
Costco Wholesale Corp,8/6/2019,269.31,271.3540344
Costco Wholesale Corp,8/7/2019,274.3,270.8274841
Costco Wholesale Corp,8/8/2019,274.8,270.5248718
Costco Wholesale Corp,8/9/2019,273.94,270.4206543
Costco Wholesale Corp,8/12/2019,271.31,270.4832458
Costco Wholesale Corp,8/13/2019,276.26,270.6707153
Costco Wholesale Corp,8/14/2019,268.15,270.9378357
Costco Wholesale Corp,8/15/2019,271.52,271.2524719
Costco Wholesale Corp,8/16/2019,274.1,271.6074219
Costco Wholesale Corp,8/19/2019,275.61,271.9970703
Costco Wholesale Corp,8/20/2019,272.97,272.4210205
Costco Wholesale Corp,8/21/2019,275.68,272.8795776
Costco Wholesale Corp,8/22/2019,279.92,273.376709
Costco Wholesale Corp,8/23/2019,274.01,273.9365845
Costco Wholesale Corp,8/26/2019,278.46,274.5914307
Costco Wholesale Corp,8/27/2019,292.38,275.3669434
Costco Wholesale Corp,8/28/2019,294.49,276.2720337
Costco Wholesale Corp,8/29/2019,296.57,269.7408752
Costco Wholesale Corp,8/30/2019,294.76,270.3735962
Costco Wholesale Corp,9/3/2019,292.05,271.1546021
Costco Wholesale Corp,9/4/2019,296.12,272.0115051
Costco Wholesale Corp,9/5/2019,296.97,272.8752747
Costco Wholesale Corp,9/6/2019,303.76,273.6930847
Costco Wholesale Corp,9/9/2019,299,274.4234314
Costco Wholesale Corp,9/10/2019,297,275.0473633
Costco Wholesale Corp,9/11/2019,290.69,275.5540161
Costco Wholesale Corp,9/12/2019,289.89,275.9391785
Costco Wholesale Corp,9/13/2019,291.9,276.1885986
Costco Wholesale Corp,9/16/2019,288.69,276.2906189
Costco Wholesale Corp,9/17/2019,291.41,276.2341309
Costco Wholesale Corp,9/18/2019,292.43,275.9859619
Costco Wholesale Corp,9/19/2019,287.83,275.5459595
Costco Wholesale Corp,9/20/2019,286.36,274.9560547
Costco Wholesale Corp,9/23/2019,287.57,274.2727051
Costco Wholesale Corp,9/24/2019,287.91,273.5482178
Costco Wholesale Corp,9/25/2019,288.51,272.8153381
Costco Wholesale Corp,9/26/2019,288.26,272.1201477
Costco Wholesale Corp,9/27/2019,285.95,271.4637146
Costco Wholesale Corp,9/30/2019,288.11,270.8524475
Costco Wholesale Corp,10/1/2019,283.93,270.3031616
Costco Wholesale Corp,10/2/2019,285.11,269.8375244
Costco Wholesale Corp,10/3/2019,289,269.4595642
Costco Wholesale Corp,10/4/2019,291.67,269.1778564
Costco Wholesale Corp,10/7/2019,293.41,269.0152893
Costco Wholesale Corp,10/8/2019,291.89,268.9602966
Costco Wholesale Corp,10/9/2019,296.9,269.0111694
Costco Wholesale Corp,10/10/2019,297.14,269.2263184
Costco Wholesale Corp,10/11/2019,297.6,290.6900635
Costco Wholesale Corp,10/14/2019,297.52,290.8265076
Costco Wholesale Corp,10/15/2019,298.39,291.0834656
Costco Wholesale Corp,10/16/2019,298.78,291.4277344
Costco Wholesale Corp,10/17/2019,302.4,291.8347168
Costco Wholesale Corp,10/18/2019,302.86,292.2862854
Costco Wholesale Corp,10/21/2019,301.08,292.7895508
Costco Wholesale Corp,10/22/2019,299.97,293.3394165
Costco Wholesale Corp,10/23/2019,297.32,293.9176941
Costco Wholesale Corp,10/24/2019,297.05,294.4815674
Costco Wholesale Corp,10/25/2019,296.5,294.9844971
Costco Wholesale Corp,10/28/2019,298.94,295.3956604
Costco Wholesale Corp,10/29/2019,295.86,295.6884155
Costco Wholesale Corp,10/30/2019,299.84,295.8567505
Costco Wholesale Corp,10/31/2019,297.11,295.9112244
Costco Wholesale Corp,11/1/2019,296.09,295.8561401
Costco Wholesale Corp,11/4/2019,296.82,295.6932678
Costco Wholesale Corp,11/5/2019,299.18,295.4317627
Costco Wholesale Corp,11/6/2019,301.57,295.087738
Costco Wholesale Corp,11/7/2019,305.21,294.6828613
Costco Wholesale Corp,11/8/2019,302.62,294.2397461
Costco Wholesale Corp,11/11/2019,300.84,293.7717285
Costco Wholesale Corp,11/12/2019,300.5,293.2961426
Costco Wholesale Corp,11/13/2019,302.9,292.8157043
Costco Wholesale Corp,11/14/2019,304.59,292.3335266
Costco Wholesale Corp,11/15/2019,303.66,291.8662415
Costco Wholesale Corp,11/18/2019,304.54,291.4417114
Costco Wholesale Corp,11/19/2019,302.24,291.0916443
Costco Wholesale Corp,11/20/2019,300.57,290.8353271
Costco Wholesale Corp,11/21/2019,301.22,290.696991
