Stock Name,timestamp,Actual Close,Predicted Close
NVIDIA Corp,7/18/2019,170.18,159.2863007
NVIDIA Corp,7/19/2019,168.44,159.8725433
NVIDIA Corp,7/22/2019,171.32,160.2350769
NVIDIA Corp,7/23/2019,175.66,160.2998657
NVIDIA Corp,7/24/2019,178.66,160.0450897
NVIDIA Corp,7/25/2019,173.38,159.4961853
NVIDIA Corp,7/26/2019,175.07,158.6877594
NVIDIA Corp,7/29/2019,174.82,157.6732178
NVIDIA Corp,7/30/2019,175.45,156.4992981
NVIDIA Corp,7/31/2019,168.72,155.2137451
NVIDIA Corp,8/1/2019,164.92,153.8952179
NVIDIA Corp,8/2/2019,161.19,152.6242065
NVIDIA Corp,8/5/2019,150.79,151.4713745
NVIDIA Corp,8/6/2019,152.35,150.4797058
NVIDIA Corp,8/7/2019,153.89,149.6730499
NVIDIA Corp,8/8/2019,158.26,149.0543671
NVIDIA Corp,8/9/2019,154.18,148.6426697
NVIDIA Corp,8/12/2019,151.45,148.4687653
NVIDIA Corp,8/13/2019,156.05,148.5553894
NVIDIA Corp,8/14/2019,150.07,148.9146576
NVIDIA Corp,8/15/2019,148.77,149.5232239
NVIDIA Corp,8/16/2019,159.56,150.3384247
NVIDIA Corp,8/19/2019,170.78,151.2978668
NVIDIA Corp,8/20/2019,167.87,152.3225708
NVIDIA Corp,8/21/2019,171.23,153.3379517
NVIDIA Corp,8/22/2019,171.48,154.2944183
NVIDIA Corp,8/23/2019,162.44,155.1862488
NVIDIA Corp,8/26/2019,165.45,156.0293274
NVIDIA Corp,8/27/2019,161.8,156.8419342
NVIDIA Corp,8/28/2019,161.22,157.6363831
NVIDIA Corp,8/29/2019,167,164.9349518
NVIDIA Corp,8/30/2019,167.51,165.7599487
NVIDIA Corp,9/3/2019,164.17,166.6594238
NVIDIA Corp,9/4/2019,168.76,167.6085205
NVIDIA Corp,9/5/2019,179.74,168.6068268
NVIDIA Corp,9/6/2019,178.65,169.6700439
NVIDIA Corp,9/9/2019,180.5,170.7903595
NVIDIA Corp,9/10/2019,183.18,171.9521027
NVIDIA Corp,9/11/2019,184.33,173.1316528
NVIDIA Corp,9/12/2019,184.27,174.3034668
NVIDIA Corp,9/13/2019,181.94,175.4151459
NVIDIA Corp,9/16/2019,180.21,176.3973389
NVIDIA Corp,9/17/2019,181.07,177.1733093
NVIDIA Corp,9/18/2019,179.98,177.6433105
NVIDIA Corp,9/19/2019,176.94,177.7342987
NVIDIA Corp,9/20/2019,172.69,177.418396
NVIDIA Corp,9/23/2019,174.84,176.7253418
NVIDIA Corp,9/24/2019,172.53,175.7047577
NVIDIA Corp,9/25/2019,178.23,174.4118652
NVIDIA Corp,9/26/2019,177.34,172.9262085
NVIDIA Corp,9/27/2019,171.76,171.3120117
NVIDIA Corp,9/30/2019,174.07,169.6212921
NVIDIA Corp,10/1/2019,174,167.940918
NVIDIA Corp,10/2/2019,173.04,166.4034271
NVIDIA Corp,10/3/2019,181.31,165.1246033
NVIDIA Corp,10/4/2019,181.97,164.2003174
NVIDIA Corp,10/7/2019,184.33,163.6904144
NVIDIA Corp,10/8/2019,177.23,163.5793762
NVIDIA Corp,10/9/2019,180.71,163.8198395
NVIDIA Corp,10/10/2019,183.03,164.3306427
NVIDIA Corp,10/11/2019,185.99,179.6214294
NVIDIA Corp,10/14/2019,186.53,179.7057343
NVIDIA Corp,10/15/2019,196.37,179.7654572
NVIDIA Corp,10/16/2019,194.21,179.7236938
NVIDIA Corp,10/17/2019,194.29,179.5426941
NVIDIA Corp,10/18/2019,190.49,179.2568817
NVIDIA Corp,10/21/2019,196.01,178.9186554
NVIDIA Corp,10/22/2019,195.61,178.588913
NVIDIA Corp,10/23/2019,195.09,178.3312683
NVIDIA Corp,10/24/2019,196.86,178.1990814
NVIDIA Corp,10/25/2019,204.54,178.2259064
NVIDIA Corp,10/28/2019,206.79,178.4141541
NVIDIA Corp,10/29/2019,202.92,178.7402191
NVIDIA Corp,10/30/2019,203,179.1721497
NVIDIA Corp,10/31/2019,201.02,179.6698608
NVIDIA Corp,11/1/2019,202.59,180.1818848
NVIDIA Corp,11/4/2019,210.5,180.6439972
NVIDIA Corp,11/5/2019,209.61,181.0112305
NVIDIA Corp,11/6/2019,207.63,181.2468262
NVIDIA Corp,11/7/2019,208.34,181.353775
NVIDIA Corp,11/8/2019,207.78,181.3492279
NVIDIA Corp,11/11/2019,208.18,181.2343445
NVIDIA Corp,11/12/2019,209.61,181.0207367
NVIDIA Corp,11/13/2019,208.57,180.7252197
NVIDIA Corp,11/14/2019,209.79,180.3639374
NVIDIA Corp,11/15/2019,204.19,179.9872437
NVIDIA Corp,11/18/2019,212.28,179.650177
NVIDIA Corp,11/19/2019,207.99,179.40802
NVIDIA Corp,11/20/2019,211.18,179.2714081
NVIDIA Corp,11/21/2019,211.05,179.2455902
