Stock Name,timestamp,Actual Close,Predicted Close
NVIDIA Corp,2019-10-11,185.99,177.21910095214844
NVIDIA Corp,2019-10-14,186.53,177.61293029785156
NVIDIA Corp,2019-10-15,196.37,177.4327392578125
NVIDIA Corp,2019-10-16,194.21,176.61033630371094
NVIDIA Corp,2019-10-17,194.29,175.3580780029297
NVIDIA Corp,2019-10-18,190.49,174.17788696289062
NVIDIA Corp,2019-10-21,196.01,173.37196350097656
NVIDIA Corp,2019-10-22,195.61,173.08909606933594
NVIDIA Corp,2019-10-23,195.09,173.37969970703125
NVIDIA Corp,2019-10-24,196.86,174.18841552734375
NVIDIA Corp,2019-10-25,204.54,175.3697052001953
NVIDIA Corp,2019-10-28,206.79,176.68643188476562
NVIDIA Corp,2019-10-29,202.92,177.90391540527344
NVIDIA Corp,2019-10-30,203.0,178.90589904785156
NVIDIA Corp,2019-10-31,201.02,179.62657165527344
NVIDIA Corp,2019-11-01,202.59,179.99295043945312
NVIDIA Corp,2019-11-04,210.5,179.9105987548828
NVIDIA Corp,2019-11-05,209.61,179.45449829101562
NVIDIA Corp,2019-11-06,207.63,178.6962432861328
NVIDIA Corp,2019-11-07,208.34,177.8775634765625
NVIDIA Corp,2019-11-08,207.78,177.155517578125
NVIDIA Corp,2019-11-11,208.18,176.47276306152344
NVIDIA Corp,2019-11-12,209.61,175.8361358642578
NVIDIA Corp,2019-11-13,208.57,175.2601776123047
NVIDIA Corp,2019-11-14,209.79,174.7374725341797
NVIDIA Corp,2019-11-15,204.19,174.46234130859375
NVIDIA Corp,2019-11-18,212.28,174.5498046875
NVIDIA Corp,2019-11-19,207.99,175.0560760498047
NVIDIA Corp,2019-11-20,211.18,175.7480926513672
NVIDIA Corp,2019-11-21,211.05,176.50689697265625
NVIDIA Corp,2019-08-29,167.0,168.7401123046875
NVIDIA Corp,2019-08-30,167.51,169.16494750976562
NVIDIA Corp,2019-09-03,164.17,169.48727416992188
NVIDIA Corp,2019-09-04,168.76,169.90652465820312
NVIDIA Corp,2019-09-05,179.74,170.62429809570312
NVIDIA Corp,2019-09-06,178.65,171.76914978027344
NVIDIA Corp,2019-09-09,180.5,173.14117431640625
NVIDIA Corp,2019-09-10,183.18,174.5647735595703
NVIDIA Corp,2019-09-11,184.33,175.8913116455078
NVIDIA Corp,2019-09-12,184.27,177.0446014404297
NVIDIA Corp,2019-09-13,181.94,177.78868103027344
NVIDIA Corp,2019-09-16,180.21,177.921142578125
NVIDIA Corp,2019-09-17,181.07,177.3297882080078
NVIDIA Corp,2019-09-18,179.98,175.8109130859375
NVIDIA Corp,2019-09-19,176.94,173.49234008789062
NVIDIA Corp,2019-09-20,172.69,170.71424865722656
NVIDIA Corp,2019-09-23,174.84,167.95040893554688
NVIDIA Corp,2019-09-24,172.53,165.43212890625
NVIDIA Corp,2019-09-25,178.23,163.2050018310547
NVIDIA Corp,2019-09-26,177.34,161.39926147460938
NVIDIA Corp,2019-09-27,171.76,159.91339111328125
NVIDIA Corp,2019-09-30,174.07,158.61412048339844
NVIDIA Corp,2019-10-01,174.0,157.7163848876953
NVIDIA Corp,2019-10-02,173.04,157.65585327148438
NVIDIA Corp,2019-10-03,181.31,158.50238037109375
NVIDIA Corp,2019-10-04,181.97,160.17578125
NVIDIA Corp,2019-10-07,184.33,162.4364776611328
NVIDIA Corp,2019-10-08,177.23,164.71102905273438
NVIDIA Corp,2019-10-09,180.71,166.66958618164062
NVIDIA Corp,2019-10-10,183.03,168.0592041015625
NVIDIA Corp,2019-07-18,170.18,169.14535522460938
NVIDIA Corp,2019-07-19,168.44,169.43267822265625
NVIDIA Corp,2019-07-22,171.32,168.8734130859375
NVIDIA Corp,2019-07-23,175.66,167.4713134765625
NVIDIA Corp,2019-07-24,178.66,165.490966796875
NVIDIA Corp,2019-07-25,173.38,163.29209899902344
NVIDIA Corp,2019-07-26,175.07,161.07803344726562
NVIDIA Corp,2019-07-29,174.82,159.02980041503906
NVIDIA Corp,2019-07-30,175.45,157.1890411376953
NVIDIA Corp,2019-07-31,168.72,155.5737762451172
NVIDIA Corp,2019-08-01,164.92,154.3526153564453
NVIDIA Corp,2019-08-02,161.19,153.62771606445312
NVIDIA Corp,2019-08-05,150.79,153.42054748535156
NVIDIA Corp,2019-08-06,152.35,153.6172332763672
NVIDIA Corp,2019-08-07,153.89,154.09007263183594
NVIDIA Corp,2019-08-08,158.26,154.6915283203125
NVIDIA Corp,2019-08-09,154.18,155.4698028564453
NVIDIA Corp,2019-08-12,151.45,156.53347778320312
NVIDIA Corp,2019-08-13,156.05,157.92105102539062
NVIDIA Corp,2019-08-14,150.07,159.615234375
NVIDIA Corp,2019-08-15,148.77,161.43148803710938
NVIDIA Corp,2019-08-16,159.56,163.19305419921875
NVIDIA Corp,2019-08-19,170.78,164.71322631835938
NVIDIA Corp,2019-08-20,167.87,165.81997680664062
NVIDIA Corp,2019-08-21,171.23,166.45465087890625
NVIDIA Corp,2019-08-22,171.48,166.71319580078125
NVIDIA Corp,2019-08-23,162.44,166.85638427734375
NVIDIA Corp,2019-08-26,165.45,167.10150146484375
NVIDIA Corp,2019-08-27,161.8,167.54100036621094
NVIDIA Corp,2019-08-28,161.22,168.16574096679688
