Stock Name,timestamp,Actual Close,Predicted Close
Apple Inc,2019-10-11,236.21,227.88755798339844
Apple Inc,2019-10-14,235.87,220.71307373046875
Apple Inc,2019-10-15,235.32,214.12330627441406
Apple Inc,2019-10-16,234.37,209.05857849121094
Apple Inc,2019-10-17,235.28,207.7984619140625
Apple Inc,2019-10-18,236.41,210.04322814941406
Apple Inc,2019-10-21,240.51,212.57080078125
Apple Inc,2019-10-22,239.96,214.26007080078125
Apple Inc,2019-10-23,243.18,215.80361938476562
Apple Inc,2019-10-24,243.58,219.28518676757812
Apple Inc,2019-10-25,246.58,221.5980224609375
Apple Inc,2019-10-28,249.05,220.75112915039062
Apple Inc,2019-10-29,243.29,219.8682861328125
Apple Inc,2019-10-30,243.26,219.73582458496094
Apple Inc,2019-10-31,248.76,220.83160400390625
Apple Inc,2019-11-01,255.82,221.2112274169922
Apple Inc,2019-11-04,257.5,220.01792907714844
Apple Inc,2019-11-05,257.13,219.31365966796875
Apple Inc,2019-11-06,257.24,218.69517517089844
Apple Inc,2019-11-07,259.43,219.70399475097656
Apple Inc,2019-11-08,260.14,220.352294921875
Apple Inc,2019-11-11,262.2,220.15545654296875
Apple Inc,2019-11-12,261.96,221.8088836669922
Apple Inc,2019-11-13,264.47,223.5318603515625
Apple Inc,2019-11-14,262.64,222.20944213867188
Apple Inc,2019-11-15,265.76,221.3266143798828
Apple Inc,2019-11-18,267.1,223.43527221679688
Apple Inc,2019-11-19,266.29,225.54244995117188
Apple Inc,2019-11-20,263.19,225.60877990722656
Apple Inc,2019-11-21,262.13,226.18777465820312
Apple Inc,2019-08-29,209.01,205.22503662109375
Apple Inc,2019-08-30,208.74,205.5386962890625
Apple Inc,2019-09-03,205.7,205.36717224121094
Apple Inc,2019-09-04,209.19,206.07887268066406
Apple Inc,2019-09-05,213.28,207.5779571533203
Apple Inc,2019-09-06,213.26,208.87466430664062
Apple Inc,2019-09-09,214.17,209.07843017578125
Apple Inc,2019-09-10,216.7,208.79742431640625
Apple Inc,2019-09-11,223.59,208.94158935546875
Apple Inc,2019-09-12,223.09,209.0779571533203
Apple Inc,2019-09-13,218.75,210.2681427001953
Apple Inc,2019-09-16,219.9,210.43284606933594
Apple Inc,2019-09-17,220.7,208.73646545410156
Apple Inc,2019-09-18,222.77,203.9844512939453
Apple Inc,2019-09-19,220.96,199.91526794433594
Apple Inc,2019-09-20,217.73,198.26510620117188
Apple Inc,2019-09-23,218.72,199.6685028076172
Apple Inc,2019-09-24,217.68,201.60150146484375
Apple Inc,2019-09-25,221.03,202.67115783691406
Apple Inc,2019-09-26,219.89,205.03128051757812
Apple Inc,2019-09-27,218.82,205.82223510742188
Apple Inc,2019-09-30,223.97,204.98597717285156
Apple Inc,2019-10-01,224.59,204.84446716308594
Apple Inc,2019-10-02,218.96,206.3468475341797
Apple Inc,2019-10-03,220.82,208.24899291992188
Apple Inc,2019-10-04,227.01,210.21636962890625
Apple Inc,2019-10-07,227.06,211.53305053710938
Apple Inc,2019-10-08,224.4,209.48953247070312
Apple Inc,2019-10-09,227.03,207.40992736816406
Apple Inc,2019-10-10,230.09,205.7106170654297
Apple Inc,2019-07-18,205.66,199.69041442871094
Apple Inc,2019-07-19,202.59,192.86849975585938
Apple Inc,2019-07-22,207.22,185.56861877441406
Apple Inc,2019-07-23,208.84,182.9772186279297
Apple Inc,2019-07-24,208.67,185.1429901123047
Apple Inc,2019-07-25,207.02,188.9821014404297
Apple Inc,2019-07-26,207.74,191.1398162841797
Apple Inc,2019-07-29,209.68,191.23828125
Apple Inc,2019-07-30,208.78,190.06802368164062
Apple Inc,2019-07-31,213.04,189.28651428222656
Apple Inc,2019-08-01,208.43,190.64585876464844
Apple Inc,2019-08-02,204.02,192.533447265625
Apple Inc,2019-08-05,193.34,194.04354858398438
Apple Inc,2019-08-06,197.0,194.52487182617188
Apple Inc,2019-08-07,199.04,194.30270385742188
Apple Inc,2019-08-08,203.43,193.0778350830078
Apple Inc,2019-08-09,200.99,193.15756225585938
Apple Inc,2019-08-12,200.48,194.23545837402344
Apple Inc,2019-08-13,208.97,194.6389617919922
Apple Inc,2019-08-14,202.75,195.4560546875
Apple Inc,2019-08-15,201.74,196.80926513671875
Apple Inc,2019-08-16,206.5,198.42811584472656
Apple Inc,2019-08-19,210.35,199.43963623046875
Apple Inc,2019-08-20,210.36,198.3639678955078
Apple Inc,2019-08-21,212.64,197.03469848632812
Apple Inc,2019-08-22,212.46,197.12864685058594
Apple Inc,2019-08-23,202.64,197.59405517578125
Apple Inc,2019-08-26,206.49,198.26165771484375
Apple Inc,2019-08-27,204.16,199.3671875
Apple Inc,2019-08-28,205.53,200.05677795410156
