timestamp,open,high,low,close,volume
2019-11-05,308.5000,309.0100,293.1400,294.0400,780729
2019-11-04,298.2300,309.2400,298.2300,307.7200,1111600
2019-11-01,288.0000,292.9600,285.3700,289.5400,514100
2019-10-31,286.1800,287.9900,282.7000,285.8600,464600
2019-10-30,284.1200,286.6400,281.2100,286.1400,361000
2019-10-29,283.1400,284.5600,279.7500,283.3100,390600
2019-10-28,282.1600,287.7800,280.4100,283.6700,406900
2019-10-25,282.8800,285.8000,279.8000,281.1600,660600
2019-10-24,273.4000,285.9900,272.7500,282.8800,767300
2019-10-23,272.6300,274.8600,268.9800,270.8500,885900
2019-10-22,283.2300,285.1900,272.9000,274.2600,770400
2019-10-21,290.1100,291.0000,280.9800,281.3800,554100
2019-10-18,288.9700,291.3100,284.8500,286.0300,657800
2019-10-17,294.0700,295.0000,286.5100,288.8500,706900
2019-10-16,284.3000,295.0000,283.1900,294.7700,1399400
2019-10-15,277.4200,287.0000,277.2500,286.2900,1173300
2019-10-14,266.4400,279.4100,265.5000,276.5900,793000
2019-10-11,263.8800,274.2000,262.0000,268.7900,809700
2019-10-10,257.3400,261.2900,255.4200,258.9600,544900
2019-10-09,255.7200,258.3800,253.7600,256.4100,444900
2019-10-08,260.7500,261.8800,252.9400,254.6400,808000
2019-10-07,263.4900,266.4400,262.1800,264.3900,542700
2019-10-04,263.3700,265.6700,262.0200,263.6300,543400
2019-10-03,261.4800,265.3700,259.3500,262.9700,645600
2019-10-02,262.0000,263.9700,257.1900,260.1500,579500
2019-10-01,266.0400,267.6000,255.3500,262.7500,700900
2019-09-30,263.3700,275.6700,263.0100,266.1800,1192400
2019-09-27,273.3500,277.9000,255.6000,260.6900,1621200
2019-09-26,265.9100,275.4400,265.0000,273.3500,533900
2019-09-25,260.9600,266.5000,258.9300,265.3200,623300
2019-09-24,269.1000,269.1000,260.6000,263.1000,377100
2019-09-23,267.1500,268.4400,265.3400,266.7000,565800
2019-09-20,270.1600,274.1800,268.0300,269.4400,607200
